id,curso,idade,ingresso,ano_ingresso,modelo_ensino,infra_biblioteca,infra_lab_info,infra_lab_pesq,infra_internet_dispon,infra_internet_wifi,infra_index,infra_index_100,acess_calcadas,acess_vias_edif,acess_rota,acess_sanit,acess_elev_rampa,acess_index,acess_index_100,empre_pensamento,empre_realizacao,empre_curiosidade,empre_planejamento,empre_apoio,empre_index,empre_index_100,projeto_empresa_junior,projeto_aiesec,projeto_enactus,projeto_iniciacao_cientifica,projeto_monitoria,engajamento_projetos,perm_amigos_as,perm_boas_oportunidades_de_coloca_o_no_mercado,perm_bons_as_professores_as,perm_fam_lia,perm_identifica_o_com_o_curso_escolhido,perm_localiza_o_da_institui_o_de_ensino_superior,perm_obten_o_do_diploma,perm_prest_gio_da_institui_o_de_ensino_superior,perm_qualidade_da_infraestrutura_da_institui_o_de_ensino_superior,perm_qualidade_do_ensino,evas_alto_indice_reprovacao,evas_custo_mensalidade,evas_emprego,evas_falta_professores,evas_greves,evas_indisp_tempo,evas_metodologia,evas_novas_oportunidades,evas_problemas_financeiros,evas_qualidade_infra,evas_qualidade_ensino,evas_didatica,evas_dificuldade_manter,evas_conciliar_horario,evas_falta_motivacao,evas_nao_ident_profissao,evas_casamento,evas_filhos,evas_nunca_deixaria,evas_nao_adaptacao_remoto,risco_evasao_raw,risco_evasao_score
118456328636,Letras português,52,2018/1,2018,Remoto e presencial (em decorrência da pandemia de COVID-19),3.0,1.0,,1.0,1.0,1.5,12.5,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.7
118433948551,Letras português,29,2014/2,2014,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,3.0,3.0,3.0,3.0,3.2,55.0,4.0,4.0,4.0,3.0,3.0,3.6,65.0,4.0,2.0,4.0,4.0,2.0,3.2,55.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
118431753400,Engenharia de computação (DCN Computação),25,2019/1,2019,Remoto e presencial (em decorrência da pandemia de COVID-19),,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118428512024,Engenharia de computação (DCN Computação),23,2019/1,2019,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,4.0,4.0,5.0,3.0,4.2,80.0,,,,,,,,4.0,5.0,5.0,5.0,3.0,4.4,85.0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,4,66.7
118423911535,Engenharia de controle e automação,28,2015/1,2015,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,4.0,3.0,5.0,4.0,4.0,75.0,,,,,,,,4.0,4.0,4.0,4.0,3.0,3.8,70.0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,16.7
118420309879,Engenharia de computação (DCN Engenharia),20,2022/1,2022,Apenas ensino presencial,5.0,5.0,4.0,3.0,4.0,4.2,80.0,,,,,,,,4.0,3.0,4.0,3.0,3.0,3.4,60.0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
118407170881,Química industrial e tecnológica,30,2015/1,2015,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,4.0,3.0,4.0,4.0,4.0,75.0,,,,,,,,4.0,3.0,4.0,2.0,1.0,2.8,45.0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118414577478,Administração,25,2017/2,2017,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,5.0,,4.0,4.0,4.25,81.2,,,,,,,,2.0,5.0,4.0,4.0,2.0,3.4,60.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
118413430328,Letras português,51,2023/1,2023,Apenas ensino presencial,4.0,4.0,4.0,4.0,4.0,4.0,75.0,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,75.0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,16.7
118410066628,Arquitetura e urbanismo,24,2023/1,2023,Apenas ensino presencial,4.0,3.0,3.0,,,3.3333333333333335,58.3,,,,,,,,5.0,5.0,4.0,5.0,4.0,4.6,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
